,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.2,0.25,0.3,0.4
2,,,,13,17,,,,,6,,,1.5,,
2.5,,,,26,17,,,12,19,7,,,2.5,,0.5
3,,28,,32,26,19.5,,16,18,9.5,6.5,0.5,3,2,1
3.5,35,43,,39,38,23,26,22,18,12.5,8,1,3.5,,1
4,43,43,43,47,37,38,30,27,30,19,9.5,2.5,4.5,,1
4.5,51,55,43,52,47,51,34,33,33,19.5,11,4.5,5.5,,1
5,63,64,66,58,53,52,41,40,31,22.5,13.5,6.5,6.5,3,1
5.5,65,73,66,65,59,63,47,43,42,25,16.5,10,7.5,3,1
6,72,81,84,72,65,73,51,46,41,28.5,19.5,15,8.5,3,1
6.5,80,81,83,78,75,72,57,51,54,31,22,18,9.5,9,1
7,85,91,83,83,75,81,59,61,54,34,24.5,21,1.5,7,1
